segreg flgctrl inout string break cond shftrot decimal binary conver stack control branch bit logical arith datamov
0 0 0 1 0 0 0 0 0 0 4 0 2 0 4 7 25
0 0 0 1 0 0 0 0 0 0 15 2 1 0 9 27 113
0 0 0 1 0 0 0 0 0 0 5 1 1 0 2 4 19
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 3
0 0 0 1 0 0 0 0 0 0 14 8 11 0 92 32 374
0 0 0 1 0 0 0 0 0 0 8 0 131 0 2 68 20
0 0 0 1 0 0 0 0 0 0 7 0 1 0 6 6 37
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 5 1 1 0 10 14 67
0 0 0 1 0 0 0 0 0 0 9 0 1 0 2 4 11
0 0 0 1 0 0 0 0 0 0 7 1 1 0 3 11 94
0 0 0 1 0 0 0 0 0 0 4 0 1 0 3 3 12
0 0 0 1 0 0 0 0 0 0 9 4 6 0 6 21 111
0 0 0 1 0 0 0 0 0 0 14 0 2 0 0 13 22
0 0 0 1 0 0 0 0 0 0 17 12 244 0 231 248 1218
0 0 0 1 0 0 0 0 0 0 25 4 1 0 0 10 48
0 0 0 1 0 0 0 0 0 0 29 0 1 0 0 6 44
0 0 0 1 0 0 0 0 0 0 7 0 1 0 0 3 6
0 0 0 1 0 0 0 0 0 0 6 1 14 0 26 159 248
0 0 0 1 0 0 0 0 0 0 7 0 1 0 0 3 7
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 3 5
0 0 0 1 0 0 0 0 0 0 12 8 11 0 0 98 180
0 0 0 1 0 0 0 0 0 0 6 0 3 0 2 3 6
0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 3 14
0 0 0 1 0 0 0 0 0 0 5 1 1 0 2 4 25
0 0 0 1 0 0 0 0 0 0 6 1 4 0 10 10 55
0 0 0 1 0 0 0 0 0 0 12 0 1 0 2 8 39
0 0 0 1 0 0 0 0 0 0 7 0 1 0 1 2 7
0 0 0 1 0 0 0 0 0 0 8 2 1 0 4 3 15
0 0 0 1 0 0 0 0 0 0 6 0 2 0 0 4 15
0 0 0 1 0 0 0 0 0 0 7 2 1 0 0 6 11
0 0 0 1 0 0 0 0 0 0 5 1 1 0 3 4 21
0 0 0 1 0 0 0 0 0 0 6 1 1 0 0 5 8
0 0 0 1 0 0 0 0 0 0 7 0 1 0 1 3 9
0 0 0 1 0 0 0 0 0 0 8 1 1045 0 4 3134 2110
0 0 0 1 0 0 0 0 0 0 5 1 19 0 4 51 117
0 0 0 1 0 0 0 0 0 0 18 7 8 0 16 17 210
