control branch bit logical arith datamov
0 3 0 4 0 24 
0 1 0 0 3 26 
0 0 0 0 0 0 
0 145 0 48 0 1616 
0 4 2 1 0 42 
0 9 113 5 81 230 
0 3 0 4 24 91 
0 4 0 3 0 48 
0 402 0 200 796 4800 
0 16 0 4 0 70 
0 39 3 40 450 587 
0 37 3 7 190 66 
0 362 26 0 2750 6051 
0 4 0 0 4 60 
0 3 0 0 8 48 
0 4 2 0 14 98 
0 3 1 0 14 80 
0 4 2 0 160 683 
0 9 8 8 20 110 
0 9 0 0 16 102 
0 7 12 4 40 140 
0 2 1 0 26 238 
0 1 1 0 2 42 
0 5 2 1 32 217 
0 17 0 0 116 104 
0 8 1 9 112 151 
1 15 1 5 34 79 
0 4 1 2 0 26 
0 45 39 52 414 352 
0 959 0 0 2125 6751 
0 0 0 0 0 0 
0 4 0 0 0 50 
0 0 0 0 0 0 
0 3 0 0 0 28 
0 4 0 0 0 42 
0 4 0 1 0 28 
7 5 2 0 0 90 
0 967 0 0 0 8348 
0 0 0 0 0 0 
0 835 0 20 10 8631 
0 561 54 0 78 9252 
0 514 53 0 234 9039 
0 3 1 15 75 327 
0 21 2 10 87 26 
0 159 926 121 3403 6336 
0 15 2 17 113 179 
0 5 0 0 0 48 
0 4 1 1 0 56 
0 333 249 0 1330 9235 
0 280 0 0 562 8988 
0 3 4 0 12 101 
0 5 1 2 8 45 
0 4 0 6 0 54 
0 1 0 0 0 14 
0 1 0 0 0 0 
0 8 0 9 7 231 
0 129 86 61 364 869 
0 9 4 2 10 103 
0 15 2 3 16 110 
0 10 8 3 15 76 
0 8 2 6 18 159 
0 6 4 0 24 70 
1 3 0 1 0 36 
0 4 0 1 2 30 
0 2 0 0 0 16 
0 11 0 13 10 178 
0 735 0 644 0 10206 
0 3 0 1 0 22 
0 2 1 1 8 18 
0 4 6 2 22 26 
0 2 1 4 24 61 
0 1 0 0 0 0 
0 22 0 3 0 160 
0 2 0 4 1 19 
0 5 2 0 0 99 
0 5 2 0 90 226 
0 15 1 10 2 186 
0 3 4 0 8 56 
0 3 0 2 20 84 
0 5 0 3 3 31 
0 0 0 9 4 80 
0 2 1 0 13 55 
0 0 0 0 0 0 
0 3 0 0 2 70 
0 3 6 0 20 112 
0 0 0 0 10 40 
0 0 0 0 6 32 
0 1 0 0 0 37 
0 52 3 0 0 414 
0 52 3 0 0 414 
0 35 0 0 0 342 
0 5 0 1 0 22 
0 2 0 3 1 26 
0 4 1 2 0 42 
0 1 0 4 1 24 
0 0 0 0 0 0 
0 67 84 38 173 553 
0 0 0 0 0 0 
0 4 0 3 0 34 
0 6 0 2 8 28 
0 18 13 0 0 356 
0 4 1 4 0 48 
0 3 0 2 0 32 
0 0 0 0 0 0 
0 3 1 0 0 16 
0 0 0 0 0 0 
0 3 0 1 0 32 
0 191 12 35 935 342 
0 264 0 128 0 1790 
0 7 3 10 78 209 
0 39 24 9 329 35 
0 2 1 2 0 30 
0 0 0 1 0 14 
